Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(1),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(1)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (1) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (1) , Ticks(Core) = (0),LogTransform(1),MC64(2)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (1) , Ticks(Core) = (0),LogTransform(0),MC64(1)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (1) , Ticks(Core) = (0),LogTransform(1),MC64(2)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
Ticks(Initial Match) = (0) , Ticks(Core) = (0),LogTransform(0),MC64(0)
